Board Name,School Number,School Name,School Language,Street,City,Postal Code,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Acheivement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education
Algoma DSB,902344,Algoma Education Connection Secondary School,English,550 NORTHERN AVENUE,Sault Ste. Marie,P6B4J4,236,46.53477,-84.30772,NA,NA,18.6,NA,N/D,NA,N/R,N/R,NA,33.88,SP
Algoma DSB,891347,Central Algoma Secondary School,English,1 Kensington,Desbarats,P0R1E0,322,46.34007,-83.9369,SP,SP,31.1,SP,0.89,13,0.45,0.66,1,15.61,SP
Algoma DSB,900869,Chapleau High School,English,20 Teak,Chapleau,P0M1K0,74,47.84273,-83.4083,SP,SP,35.1,NA,N/R,NA,N/R,0.6,-28,17.27,SP
Algoma DSB,908010,Elliot Lake Secondary School,English,303 Mississauga,Elliot Lake,P5A1E8,325,46.37627,-82.66108,SP,SP,26.2,SP,0.8,-1,0.29,0.75,-5,26.54,3.36
Algoma DSB,917370,Hornepayne High School,English,162 Forth,Hornepayne,P0M1Z0,59,49.21525,-84.77894,SP,NA,20.3,NA,N/R,NA,N/R,0.58,-4,SP,SP
Algoma DSB,920533,Korah Collegiate and Vocational School,English,636 Goulais,Sault Ste Marie,P6C5A7,778,46.54269,-84.38155,2.3,SP,19.5,SP,0.83,2,0.63,0.74,-7,18.77,6.2
Algoma DSB,926086,Michipicoten High School,English,86 Magpie,Wawa,P0S1K0,104,47.99317,-84.77582,SP,NA,23.1,NA,0.94,NA,N/R,0.56,-10,19.12,SP
Algoma DSB,948426,Missarenda Secondary School,English,NA,Missanabie,P0M2H0,NA,48.31165,-84.081983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algoma DSB,891150,North Shore Adolescent Education School,English,303 Mississauga,Elliot Lake,P5A1E8,22,46.37987,-82.65645,NA,NA,NA,NA,NA,NA,NA,N/D,NA,SP,SP
Algoma DSB,958050,Superior Heights Collegiate and Vocational School,English,750 north,Sault Ste. Marie,P6B2C5,839,46.50845,-84.28823,SP,SP,18,SP,0.76,-11,0.26,0.68,2,23.43,5.17
Algoma DSB,895270,W C Eaket Secondary School,English,147 Woodward,Blind River,P0R1B0,179,46.18877,-82.94673,SP,SP,37.4,NA,0.79,-7,0.47,0.62,4,26.34,6.15
Algoma DSB,953148,White Pines Collegiate and Vocational School,English,1007 Trunk,Sault Ste Marie,P6A5K9,504,46.52684,-84.25603,SP,SP,32.7,NA,0.75,-1,0.42,0.52,-18,24.96,3.88
Algonquin and Lakeshore CDSB,715298,Holy Cross Catholic Secondary School,English,1085 Woodbine,Kingston,K7P2V9,1088,44.25899,-76.59873,4.7,1.2,26.3,NA,0.79,-3,0.4,0.81,-9,13.33,15.59
Algonquin and Lakeshore CDSB,728420,Loyola Community Learning Centre,English,1440 Princess,Kingston,K7M3E5,323,44.2508,-76.5329,6.5,SP,3.7,NA,NA,NA,NA,NA,NA,26.58,4.6
Algonquin and Lakeshore CDSB,835099,Nicholson Catholic College,English,301 Church,Belleville,K8N3C7,483,44.16855,-77.38251,7.7,SP,22.8,NA,0.72,-10,0.38,0.91,-2,19.48,7.78
Algonquin and Lakeshore CDSB,752932,Regiopolis/Notre-Dame Catholic High School,English,130 Russell,Kingston,K7K2E9,1049,44.24334,-76.49391,5.4,1.2,25.5,NA,0.87,-6,0.6,0.88,-3,19.11,7.92
Algonquin and Lakeshore CDSB,841358,St Paul Catholic Secondary School,English,15 Tripp,Trenton,K8V6M2,355,44.09403,-77.59805,SP,SP,31.5,NA,0.88,15,0.54,0.79,-6,17.62,3.92
Algonquin and Lakeshore CDSB,851752,St Theresa Catholic Secondary School,English,135 Adam,Belleville,K8N5S1,739,44.19052,-77.38185,1.6,SP,23,NA,0.78,11,0.33,0.76,-9,17.06,4.43
Avon Maitland DSB,893048,Avon Maitland District E-learning Centre,English,165 Princess,Clinton,N0M1L0,221,43.618600218,-81.532563948,7.2,SP,NA,NA,N/D,NA,N/D,N/D,NA,16.63,14.13
Avon Maitland DSB,899569,Central Huron Secondary School,English,165 Princess,Clinton,N0M1L0,530,43.61681,-81.5337,3,SP,24.2,2.5,0.73,-11,0.35,0.74,-7,13.91,2.48
Avon Maitland DSB,953776,F E Madill Secondary School,English,231 Madill,Wingham,N0G2W0,696,43.88247,-81.30644,2.7,NA,27.3,1.6,0.59,-18,0.48,0.67,-4,14.1,3.81
Avon Maitland DSB,913600,Goderich District Collegiate Institute,English,260 South,Goderich,N7A3M5,480,43.73412,-81.7112,2.7,SP,27.7,3.1,0.67,-11,0.26,0.77,-4,15.49,7.2
Avon Maitland DSB,923095,Listowel District Secondary School,English,155 Maitland,Listowel,N4W2M4,863,43.72751,-80.94669,11.6,SP,19.2,2.4,0.88,6,0.63,0.74,-11,10.73,SP
Avon Maitland DSB,927120,Mitchell District High School,English,95 Frances,Mitchell,N0K1N0,314,43.47518,-81.18946,5.1,NA,19.1,SP,0.88,0,0.26,0.85,19,10.99,3.86
Avon Maitland DSB,943118,South Huron District High School,English,92 Gidley,Exeter,N0M1S6,465,43.34951,-81.47742,3.2,SP,26.7,3.2,0.85,-8,0.54,0.85,-1,14.19,SP
Avon Maitland DSB,944807,St Marys District Collegiate and Vocational Institute,English,338 Elizabeth,St Marys,N4X1B6,434,43.257,-81.13389,3.5,SP,15.7,SP,0.79,-9,0.5,0.71,-4,12.32,4.77
Avon Maitland DSB,945587,Stratford Central Secondary School,English,60 St Andrew,Stratford,N5A1A3,789,43.37092,-80.98646,6,SP,18.3,7.6,0.94,5,0.6,0.89,3,15.17,3.96
Avon Maitland DSB,945714,Stratford Northwestern Secondary School,English,428 Forman,Stratford,N5A6R7,899,43.38432,-80.99312,3.7,SP,26.6,1.9,0.9,8,0.62,0.66,-5,14.2,3.47
Bluewater DSB,896969,Bruce Peninsula District School,English,5 Moore,Lion s Head,N0H1W0,62,44.98478,-81.25194,NA,NA,45.2,SP,0.8,NA,N/R,0.67,-7,25.99,SP
Bluewater DSB,925438,Georgian Bay Community School Secondary School,English,125 Eliza,Meaford,N4L1A4,390,44.60148,-80.58447,SP,SP,30.5,4.4,0.8,-8,0.67,0.87,15,17.06,SP
Bluewater DSB,914444,Grey Highlands Secondary School,English,NA,Flesherton,N0C1E0,694,44.25865,-80.54524,SP,SP,28,2,0.56,0,0.38,0.78,11,17.34,2.21
Bluewater DSB,915556,John Diefenbaker Senior School,English,181 th,Hanover,N4N1G7,653,44.14781,-81.03094,SP,SP,31.5,2.6,0.87,4,0.48,0.82,3,16.95,SP
Bluewater DSB,919454,Kincardine District Secondary School,English,885 River,Kincardine,N2Z2B9,467,44.17732,-81.62775,SP,SP,26.6,2.8,0.73,-11,0.21,0.72,-14,10.12,4.01
Bluewater DSB,951692,Owen Sound District Secondary School Secondary School,English,750 th,Owen Sound,N4K3P6,909,44.56513,-80.95752,1.8,SP,30.3,2.8,0.94,10,0.54,0.74,-12,19.18,5.09
Bluewater DSB,953253,Peninsula Shores District School,English,115 George,Wiarton,N0H2T0,220,44.74067,-81.1492,SP,SP,30.9,SP,1,18,0.43,0.69,-1,22.62,SP
Bluewater DSB,940127,Saugeen District Secondary School,English,780 Gustavus,Port Elgin,N0H2C4,573,44.4329,-81.38337,5.9,SP,27.9,2.1,0.85,4,0.83,0.87,13,18.82,10.35
