FSA,"Population, 2016",Government transfers (% of total income),Median total income of households ($),Average total income of households ($),Total - low-income status,Total visible minority population,Not a visible minority,Unemployment rate
P6B,22847.0,18.1,57710.0,73250.0,22270.0,1015.0,21380.0,10.3
P0R,12479.0,20.4,56666.0,71052.0,11710.0,145.0,12105.0,10.0
P0M,49750.0,14.2,74467.0,89105.0,47845.0,465.0,48825.0,9.2
P5A,10741.0,31.0,42466.0,57539.0,10580.0,230.0,10350.0,11.3
P0M,49750.0,14.2,74467.0,89105.0,47845.0,465.0,48825.0,9.2
P6C,19322.0,19.1,59240.0,71154.0,19310.0,245.0,19090.0,10.2
P0S,9869.0,16.1,69083.0,81464.0,9720.0,155.0,9770.0,9.4
P0M,49750.0,14.2,74467.0,89105.0,47845.0,465.0,48825.0,9.2
P5A,10741.0,31.0,42466.0,57539.0,10580.0,230.0,10350.0,11.3
P6B,22847.0,18.1,57710.0,73250.0,22270.0,1015.0,21380.0,10.3
P0R,12479.0,20.4,56666.0,71052.0,11710.0,145.0,12105.0,10.0
P6A,34720.0,15.6,65320.0,82386.0,32700.0,770.0,32720.0,10.6
K7P,21653.0,9.9,91968.0,102587.0,21450.0,2485.0,19005.0,6.4
K7M,47676.0,14.1,66454.0,83428.0,45795.0,4605.0,41300.0,8.0
K8N,28462.0,15.9,63595.0,82176.0,27940.0,1400.0,26640.0,5.6
K7K,31621.0,15.5,53314.0,67336.0,31070.0,2760.0,28440.0,9.5
K8V,27192.0,17.3,62514.0,71268.0,26680.0,920.0,25620.0,6.8
K8N,28462.0,15.9,63595.0,82176.0,27940.0,1400.0,26640.0,5.6
N0M,64764.0,12.8,75610.0,91292.0,63350.0,1080.0,62305.0,4.6
N0M,64764.0,12.8,75610.0,91292.0,63350.0,1080.0,62305.0,4.6
N0G,83818.0,14.2,67460.0,81308.0,82040.0,1165.0,80800.0,4.6
N7A,11720.0,16.8,63984.0,80963.0,11465.0,175.0,11080.0,5.4
N4W,11199.0,12.7,69504.0,84459.0,11005.0,305.0,10740.0,3.4
N0K,24378.0,12.2,74344.0,87032.0,24005.0,370.0,23530.0,3.7
N0M,64764.0,12.8,75610.0,91292.0,63350.0,1080.0,62305.0,4.6
N4X,9791.0,12.0,76434.0,90510.0,9540.0,190.0,9530.0,2.2
N5A,31302.0,13.4,64719.0,80722.0,30435.0,1665.0,28715.0,5.1
N5A,31302.0,13.4,64719.0,80722.0,30435.0,1665.0,28715.0,5.1
N0H,48330.0,14.0,69918.0,89774.0,45800.0,1025.0,46660.0,6.2
N4L,8117.0,18.8,60693.0,74878.0,7975.0,205.0,7860.0,5.7
N0C,15438.0,15.2,66944.0,89557.0,15345.0,230.0,15105.0,6.4
N4N,9901.0,17.7,58752.0,72078.0,9525.0,120.0,9330.0,5.8
N2Z,10856.0,9.6,88512.0,112488.0,10650.0,595.0,10165.0,6.4
N4K,28286.0,17.0,56712.0,74320.0,27255.0,995.0,26225.0,6.6
N0H,48330.0,14.0,69918.0,89774.0,45800.0,1025.0,46660.0,6.2
N0H,48330.0,14.0,69918.0,89774.0,45800.0,1025.0,46660.0,6.2
N0G,83818.0,14.2,67460.0,81308.0,82040.0,1165.0,80800.0,4.6
N3T,34317.0,12.9,69988.0,84707.0,33430.0,4045.0,29165.0,6.6
N3Y,22419.0,17.3,62869.0,75516.0,21595.0,640.0,20940.0,8.6
N3R,34276.0,16.5,66899.0,81133.0,33850.0,2280.0,31440.0,6.1
N3S,25765.0,20.2,52174.0,62270.0,25355.0,2150.0,23230.0,7.8
N0G,83818.0,14.2,67460.0,81308.0,82040.0,1165.0,80800.0,4.6
N4K,28286.0,17.0,56712.0,74320.0,27255.0,995.0,26225.0,6.6
K7A,16626.0,19.1,60124.0,70010.0,16355.0,350.0,15910.0,7.9
K6H,30949.0,23.0,46646.0,61974.0,28425.0,1750.0,28390.0,10.6
K7C,17666.0,11.9,81453.0,94386.0,17325.0,585.0,16870.0,5.6
K0A,103474.0,9.0,97331.0,111786.0,101990.0,2810.0,99225.0,5.0
K7H,15009.0,16.4,67651.0,81621.0,14495.0,165.0,14395.0,6.5
K6J,17644.0,23.6,47238.0,58830.0,17180.0,1040.0,16040.0,8.8
K6V,27782.0,18.1,56384.0,73355.0,26980.0,1075.0,26085.0,8.9
K6H,30949.0,23.0,46646.0,61974.0,28425.0,1750.0,28390.0,10.6
K0G,37097.0,13.1,79061.0,92336.0,36635.0,540.0,35935.0,6.4
K7A,16626.0,19.1,60124.0,70010.0,16355.0,350.0,15910.0,7.9
K4R,7435.0,7.7,109483.0,120926.0,7275.0,305.0,6885.0,4.3
K0A,103474.0,9.0,97331.0,111786.0,101990.0,2810.0,99225.0,5.0
K1G,34075.0,11.4,67205.0,84857.0,33140.0,12625.0,20515.0,10.1
K0A,103474.0,9.0,97331.0,111786.0,101990.0,2810.0,99225.0,5.0
K1N,25063.0,9.1,50203.0,72002.0,22800.0,6475.0,16330.0,11.0
K4A,54524.0,6.4,112523.0,124896.0,54260.0,15035.0,39205.0,5.7
K1G,34075.0,11.4,67205.0,84857.0,33140.0,12625.0,20515.0,10.1
K6A,12538.0,23.1,46601.0,61677.0,12095.0,405.0,11700.0,9.1
K8A,25771.0,15.9,63432.0,78182.0,24920.0,550.0,24445.0,7.3
